district,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
Valli,704,1019,378,405,,,1082,1424,1416,874,216,244,11,,22
Salakkalahti,103,187,46,51,,,149,238,262,107,18,4,,,5
Repola,78,126,48,63,,,126,189,183,105,27,39,,,4
P_Annan_kruunu,29,54,19,15,,,48,69,48,58,11,17,,,1
Pietarin_esikaupunki,779,855,481,570,,,1260,1425,1594,385,706,288,8,5,22
Anina,154,156,95,96,,,229,252,161,17,303,33,,,5
Viipurin_esikaupunki,198,271,121,166,,,319,437,459,129,168,99,3,,5
Saunalahti,19,37,13,55,,,32,92,59,44,21,13,1,,
Papula,53,61,37,46,,,90,107,105,67,25,3,,,1
Pantsarlahti,338,303,180,180,,,518,483,573,49,379,9,,,5
Havi,32,35,22,30,,,54,65,81,5,33,,,,1
Hiekka,69,88,14,52,,,118,140,165,31,62,28,,,
Paulovski,127,133,105,106,,,232,239,194,10,267,22,1,,4
Pikiruukki,28,34,7,18,,,35,52,51,3,33,3,,,1
Likolampi,28,37,23,20,,,57,57,88,4,16,1,,,
Saunalahti_mlk,16,22,12,21,,,28,43,40,7,24,8,,,
Sorvali,47,51,59,78,,,106,129,110,3,122,32,,,1
Kolikkoinmäki,40,32,29,28,,,69,60,98,4,27,5,,,2
Viipurin_pitäjä,14,18,20,37,,,34,55,37,6,46,5,,,1